title,description,date,link,resourceType,companyName
How to Prepare Your Website for High-Traffic Events,"Explore how we collaborated with Previon Plus to ensure optimal user experience and site performance for Züri Fäscht, Switzerland's largest festival.",2023-09-19T22:00:00.000Z,/case-study/how-to-prepare-your-website-for-high-traffic-events,Case Study,Züri Fäscht
Unparalleled Site Uptime and Web Performance with ZeroOps for Victoria University,"Victoria University's website was transformed by migrating it to our open source application delivery hub, powered by Lagoon, running on AWS’ cloud solutions",2023-09-11T22:00:00.000Z,https://www.amazee.io/case-study/unparalleled-site-uptime-and-web-performance-with-zeroops,Case Study,Victoria University
"How a global pharma company rapidly migrated 3,000 Kubernetes environments to Amazon EKS and cut application delivery costs by 60%",A global top 20 pharmaceutical company...,2023-08-16T22:00:00.000Z,https://www.amazee.io/case-study/how-a-global-pharma-company-rapidly-migrated-3000-kubernetes-environments,Case Study,Top 20 Pharma
Taoti Creatives: Provide More For Customers,"Discover how we supported Taoti Creative to focus on key aspects of keeping its clients happy: speed, flexibility, and meeting client needs",2023-08-15T22:00:00.000Z,https://www.amazee.io/case-study/how-taoti-creative-did-it,Case Study,Taoti Creative
How a SaaS startup saved more than $70k and reduced go-to-market time by 1+ years,When it comes to building the SaaS product of your dreams (and your customers’ dreams) it’s important to get it right and prepare the best product possible - but not delay the timeline.,2022-10-24T22:00:00.000Z,/case-study/pipelyft-how-a-saas-startup-saved-more-than-70k,Case Study,Pipelyft
Urban Utilities improved application search speed by 50% after moving to amazee.io,"Find out how, with Urban Utilities, we built an account portal so customers could manage account activities, like viewing, downloading & paying invoices.",2022-02-07T22:00:00.000Z,https://amazee.io/case-study/urban-utilities-improved-application-search-speed-by-fifty-percent,Case Study,Urban Utilities
De-Risk Your Business & Reduce Costs | amazee.io,Learn how Doghouse Agency de-risked their business and reduced overhead costs by partnering with us!,2021-08-18T22:00:00.000Z,https://www.amazee.io/case-study/how-doghouse-agency-de-risked-their-business,Case Study,Doghouse Agency
Supporting Students During Uncertain Times,"Career Year Academy is a skills-based education provider, aiming to bridge the gap between high school, university, and the workplace.",2020-11-18T22:00:00.000Z,https://www.amazee.io/case-study/supporting-students-during-uncertain-times,Case Study,Career Year Academy
Smartsheet: Supporting Enterprise SaaS Demand | amazee.io,"With the objective of gaining faster support and optimizing hosting expenses, Smartsheet engaged amazee.io to migrate their Drupal websites.",2020-10-18T22:00:00.000Z,https://www.amazee.io/case-study/supporting-enterprise-saas-demand,Case Study,Smartsheet
Case Study: Managing Increased Website Demand | amazee.io,Discover our scaling solutions for the GovCMS website when it faced an unprecedented additional traffic load during the COVID-19 pandemic crisis.,2020-08-25T22:00:00.000Z,https://www.amazee.io/case-study/managing-increased-website-demand-during-covid-19,Case Study,GovCMS
Autoscaling to meet peak demand with amazee.io support,"When Matterport re-platformed their website on Drupal, they sought a hosting partner with the expertise and flexibility to meet their unique requirements.",2020-08-04T22:00:00.000Z,https://www.amazee.io/case-study/autoscaling-to-meet-peak-demand-with-amazee-io-support,Case Study,Matterport
"The next generation of GovCMS, an open source web solution for the Australian Government","amazee.io partnered with Salsa Digital to migrate the Australian Government’s web hosting platform, GovCMS, to an entirely open source hosting platform, Lagoon.",2019-11-25T22:00:00.000Z,https://www.amazee.io/case-study/the-next-generation-of-govcms,Case Study,GovCMS
Advancing Complex Web Applications,"Read how we collaborated with the digital agency Communica to offer best-in-class efficiency with code management, deployments, and site stability.",2019-10-20T22:00:00.000Z,https://www.amazee.io/case-study/advancing-complex-web-applications,Case Study,Communica
Replatforming the Flemish government’s web presence on Lagoon,"The government of the Flemish region of Belgium, Flanders (Vlaanderen in Dutch), partnered with amazee.io to host and maintain a dedicated state-of-the-art web platform.",2019-07-23T22:00:00.000Z,https://www.amazee.io/case-study/replatforming-the-flemish-governments-web-presence-on-lagoon,Case Study,Vlaanderen
Bringing open source and containerization on-premises,"amazee.io and leading Swiss digital agency, Previon Plus worked together to build a custom on-premises hosting solution for their client, SIX, the operator of the infrastructure for the Swiss financial center.",2019-04-01T22:00:00.000Z,https://www.amazee.io/case-study/bringing-open-source-and-containerization-on-premises,Case Study,SIX
GovCMS Web Hosting Solution | amazee.io,"amazee.io, in partnership with Salsa Digital, has signed a three-year contract with the Australian Department of Finance to build the next evolution of GovCMS.",2018-07-18T22:00:00.000Z,https://www.amazee.io/case-study/building-the-next-generation-of-govcms-with-salsa-digital,Case Study,GovCMS
